player id,move from id,move from,move to,move to id,market value,transfer fee,source,target
103246,4561,CS Emelec,Grêmio Foot-Ball Porto Alegrense,210,£2.98m,£3.83m,44,26
103192,30613,Kisvárda FC,Soproni VSE,27402,£43k,Free transfer,178,178
103192,27402,Soproni VSE,Kisvárda FC,30613,£64k,Free transfer,178,178
103189,1267,Manisaspor,Bandirmaspor,20760,£468k,?,174,174
103135,19657,Vendsyssel FF,Jammerbugt FC,20108,£85k,?,39,39
103127,5818,Hobro IK,Brabrand IF,5874,£128k,Free transfer,39,39
103117,26157,Club Mutual Crucero del Norte,Gimnasia y Esgrima de Jujuy,10885,£149k,?,9,9
103096,12574,Club Deportivo Godoy Cruz,Club Tijuana,13353,£638k,Free transfer,9,110
103096,2402,Defensa y Justicia,Club Deportivo Godoy Cruz,12574,£638k,Free transfer,9,9
103001,6692,Novara Calcio 1908,AS Martina Franca,4558,£64k,Free transfer,75,75
102995,408,Ascoli Picchio,Calcio Catania,1627,£85k,?,75,75
102990,2921,Delfino Pescara 1936,AC Pavia,5174,£128k,?,75,75
102984,5621,AC Reggiana 1919,Foggia Calcio,704,£213k,?,75,75
102810,41323,Cimarrones de Sonora,CD Unión Comercio,31337,£425k,?,110,133
102810,31337,CD Unión Comercio,Cimarrones de Sonora,41323,£425k,Free transfer,133,110
102695,2407,CF Monterrey,Club Necaxa,1146,£553k,-,110,110
102647,5621,AC Reggiana 1919,Foggia Calcio,704,£43k,Free transfer,75,75
102639,22302,Lupa Roma FC,Casertana FC,4106,£128k,Free transfer,75,75
102536,4171,Benevento Calcio,Casertana FC,4106,£191k,?,75,75
102536,4106,Casertana FC,Benevento Calcio,4171,£191k,Free transfer,75,75
102470,252,Genoa CFC,AC Cesena,1429,£1.28m,?,75,75
102442,34318,Huracán Fútbol Club,Club Atlético Boston River,18074,£213k,Free transfer,179,179
102438,2619,Defensor Sporting Club,Puebla FC,5662,£425k,Free transfer,179,110
102432,2419,Atletico River Plate Montevideo,Club Deportivo Godoy Cruz,12574,£383k,?,179,9
102431,2403,Montevideo Wanderers,Club Atlético Boston River,18074,£276k,Free transfer,179,179
102427,289,Sunderland AFC,Sporting CP,336,£2.13m,Loan fee:£276k,189,136
102427,31,Liverpool FC,Sunderland AFC,289,£2.13m,£2.38m,189,189
102425,830,Club Atlético Banfield,Defensa y Justicia,2402,£680k,Free transfer,9,9
102422,26468,Deportivo La Guaira,Mineros de Guayana,17194,£255k,?,182,182
102381,35060,CS Uruguay de Coronado,Universidad de Costa Rica,23609,£149k,Free transfer,36,36
102381,18577,CS Cartaginés,CS Uruguay de Coronado,35060,£191k,Free transfer,36,36
102379,4554,FC Südtirol  Alto Adige,US Alessandria 1912,2721,£425k,£468k,75,75
102368,1627,Calcio Catania,US Salernitana 1919,380,£1.11m,£765k,75,75
102368,332,FC Bari 1908,Calcio Catania,1627,£1.11m,£425k,75,75
102358,1236,Östers Växjö IF,Halmstads BK,1011,-,?,147,147
102288,21475,Academia Clinceni,Dunarea Calarasi,37239,£191k,Free transfer,140,140
102281,11107,Videoton FC,Legia Warszawa,255,£1.11m,Free transfer,178,135
102271,2394,SV Kapfenberg,SV Grödig,10131,£298k,?,127,127
102269,17425,CD La Equidad,Atlético Nacional,8172,£553k,?,83,83
102258,405,Aston Villa,Burnley FC,1132,£1.70m,£1.19m,189,189
102249,430,ACF Fiorentina,US Latina Calcio,22045,£510k,?,75,75
102238,210,Grêmio Foot-Ball Porto Alegrense,Atlético Goianiense,15172,£425k,Free transfer,26,26
102231,4106,Casertana FC,Benevento Calcio,4171,£276k,?,75,75
102226,631,Chelsea FC,Borussia Mönchengladbach,18,£8.50m,£6.80m,189,40
102192,398,SS Lazio,Trabzonspor,449,£1.70m,£1.49m,75,174
102159,3386,Agrotikos Asteras,FK Novi Pazar,4633,£170k,Free transfer,56,215
102136,5767,Middelfart G&BK,Boldklubben Marienlyst,22235,-,Free transfer,39,39
102134,317,FC Twente Enschede,FC Copenhagen,190,£850k,£850k,122,39
102132,405,Aston Villa,Aalborg BK,1053,£1.06m,Free transfer,189,39
102091,21855,Fjölnir Reykjavík,Fram Reykjavík,3832,£21k,Free transfer,73,73
102053,4172,AC Pisa 1909,AC Reggiana 1919,5621,£298k,Free transfer,75,75
102052,4106,Casertana FC,US Catanzaro,4097,£64k,Free transfer,75,75
102048,13025,Sandnes Ulf,FK Jerv,36224,£170k,Free transfer,125,125
102045,4128,Amkar Perm,Odense Boldklub,173,£850k,£595k,141,39
102045,865,FC Midtjylland,Amkar Perm,4128,£850k,Free transfer,39,141
102043,865,FC Midtjylland,FK Ufa,28095,£1.06m,?,39,141
102040,23297,HB Köge,AC Horsens,2414,£170k,?,39,39
101987,5866,Brönshöj Boldklub,Vejle Boldklub,443,£213k,Free transfer,39,39
101954,2782,FK Ventspils,Hamilton Academical FC,2999,£340k,?,92,190
101922,2331,US Avellino 1912,Cagliari Calcio,1390,£595k,£128k,75,75
101919,5621,AC Reggiana 1919,UC AlbinoLeffe,4541,£85k,?,75,75
101919,4541,UC AlbinoLeffe,AC Reggiana 1919,5621,£128k,Free transfer,75,75
101875,1030,Argentinos Juniors,Defensa y Justicia,2402,£425k,Free transfer,9,9
101842,24420,UD Logroñés,Sestao River,13240,-,Free transfer,157,157
101808,26586,Najran SC,Assyriska FF,4380,£106k,Free transfer,146,147
101808,4590,Ethnikos Achnas,Najran SC,26586,£106k,?,188,146
101742,3302,UD Almería,Levante UD,3368,£2.55m,£850k,157,157
101736,10586,Aris Limassol,Ceahlaul Piatra Neamt,8687,£43k,Free transfer,188,140
101729,429,Apollon Limassol,Hapoel Kfar Saba,7532,£298k,Free transfer,188,74
101727,6297,Al-Gharafa Sports Club,Al-Arabi Sports Club,1230,£64k,Free transfer,137,137
101723,7971,Hércules CF,Ermis Aradippou,24326,-,Free transfer,157,188
101692,978,Club de Regatas Vasco da Gama,Ulsan Hyundai,3535,£468k,Free transfer,26,87
101635,14,Austria Vienna,SV Horn,10044,£43k,?,127,127
101500,1010,Watford FC,Reading FC,1032,£4.68m,Loan fee:£2.30m,189,189
101500,410,Udinese Calcio,Watford FC,1010,£4.68m,£7.14m,75,189
101469,199,Sport Club Corinthians Paulista,Shandong Luneng Taishan,3182,£6.38m,£7.23m,26,34
101465,1210,AS Livorno,Calcio Como,1047,£510k,?,75,75
101388,39805,Tuzlaspor,Eyüpspor,7160,£170k,?,174,174
101388,518,Sariyer,Tuzlaspor,39805,£149k,?,174,174
101310,21599,Luverdense Esporte Clube (MT),Montedio Yamagata,16190,£638k,Free transfer,26,77
101294,221,Santos FC,PFK Ludogorets Razgrad,31614,£2.34m,Loan fee:£765k,26,28
101253,309,Paraná Clube,Júbilo Iwata,937,£340k,?,26,77
101122,3014,Albion Rovers FC,Stranraer FC,3034,-,Free transfer,190,190
101121,2049,KF Tirana,FK Bylis Ballsh,21234,£213k,Free transfer,3,3
101094,4574,Gümüshanespor,Orduspor,2323,£85k,Free transfer,174,174
101042,2573,FK Zeljeznicar Sarajevo,Antalyaspor,589,£553k,£98k,24,174
101033,3930,Bray Wanderers,Galway United FC,42394,-,Free transfer,72,72
101029,354,KV Mechelen,IF Elfsborg Boras,1101,£510k,?,19,147
101015,6631,FC Tokyo,Club Africain Tunis,819,£425k,Free transfer,77,173
101002,5776,FC Fredericia,FC Helsingoer,22110,£85k,?,39,39
100999,4414,Gefle IF,Dalian Transcendence,42226,£425k,?,147,34
100995,5716,BK Fremad Amager,Boldklubben Avarta,5925,-,Free transfer,39,39
100984,2843,GIF Sundsvall,Valerenga Oslo,76,£255k,?,147,125
100750,11177,Fleetwood Town,Ross County FC,2759,£128k,Free transfer,189,190
100723,602,Zalgiris Vilnius,Irtysh Pavlodar,10540,£255k,Free transfer,98,81
100722,13222,CD Mirandés,RCD Mallorca,237,£595k,£204k,157,157
100722,5648,Gimnàstic de Tarragona,CD Mirandés,13222,£255k,Free transfer,157,157
100676,3641,Degerfors IF,Carlstad United BK,7395,£128k,Free transfer,147,147
100673,649,Szombathelyi Haladás,Slask Wroclaw,759,£213k,Free transfer,178,135
100673,9241,Diósgyöri VTK,Szombathelyi Haladás,649,£383k,Free transfer,178,178
100612,18006,Deportivo Anzoátegui SC,Zulia FC,19396,-,?,182,182
100591,5107,NK Zagreb,Slaven Belupo Koprivnica,2362,£340k,?,37,37
100501,31337,CD Unión Comercio,UTC Cajamarca,21170,£298k,?,133,133
100482,10481,Tobol Kostanay,FC Botosani,8818,£638k,Free transfer,81,140
100453,255,Legia Warszawa,SV Sandhausen,254,£425k,Loan fee:£43k,135,40
100392,12132,FK Jagodina,NK Istra 1961,999,£425k,Free transfer,215,37
100377,8331,Aragua FC,Independiente Santa Fe,11648,-,?,182,83
100377,10090,Deportivo Pasto,Aragua FC,8331,-,?,83,182
100298,4035,CF Pachuca,Mineros de Zacatecas,44772,£340k,?,110,110
100189,1083,FK Rostov,Enisey Krasnoyarsk,3714,£425k,?,141,141
100160,4769,Ihud Bnei Sakhnin,Dinamo Bukarest,312,£255k,Free transfer,74,140
100091,18544,Al-Nasr Riyadh,Sport Club Corinthians Paulista,199,£2.34m,£2.25m,146,26
100089,4750,SC Olhanense,Atlético CP,5227,£340k,?,136,136
99996,7088,Fethiyespor,Sivas Belediyespor,37975,£85k,?,174,174
99996,12374,Altinordu,Fethiyespor,7088,£85k,Free transfer,174,174
99995,2330,Karsiyaka,Elazigspor,2292,£340k,Free transfer,174,174
99924,11972,Villarreal CF B,CA Osasuna,331,-,Free transfer,157,157
99923,1390,Cagliari Calcio,Virtus Entella,20519,£680k,Loan fee:£85k,75,75
99903,199,Sport Club Corinthians Paulista,Beijing Guoan,3176,£2.98m,£850k,26,34
99894,206,Bröndby IF,Odense Boldklub,173,£255k,Free transfer,39,39
99856,626,New England Revolution,Tampa Bay Rowdies,23565,£128k,Free transfer,184,184
99853,25467,Philadelphia Union,Minnesota United FC (NASL),27768,£255k,Free transfer,184,184
99852,626,New England Revolution,Orlando City SC,45604,£255k,draft,184,184
99727,49734,FC Jumilla,ACS Poli Timisoara,36590,£43k,Free transfer,157,140
99727,1536,Burgos CF,FC Jumilla,49734,-,Free transfer,157,157
99690,1061,Los Angeles Galaxy,CF Pachuca,4035,£850k,?,184,110
99632,368,Sevilla FC,Esporte Clube Bahia,10010,£425k,Free transfer,157,26
99559,38456,UE Olot,FC Barcelona B,2464,-,?,157,157
99559,26132,UE Llagostera,UE Olot,38456,£170k,Free transfer,157,157
99548,17832,Tokushima Vortis,Al-Ain FC,2150,£510k,£3.32m,77,183
99546,4558,AS Martina Franca,SS Monopoli 1966,33734,£43k,Free transfer,75,75
99517,127,SC Paderborn 07,FC Emmen,1283,£255k,Free transfer,40,122
99512,3319,Sampaio Corrêa Futebol Clube (MA),Atlético CP,5227,£213k,Free transfer,26,136
99508,3057,Standard Liège,NAC Breda,132,£425k,Free transfer,19,122
99463,1071,Wigan Athletic,Rangers FC,124,£340k,£238k,189,190
99448,6502,Jeonbuk Hyundai Motors,Daejeon Citizen FC,6499,£1.06m,?,87,87
99445,3176,Beijing Guoan,FC Tokyo,6631,£765k,?,34,77
99442,204,Lierse SK,Szombathelyi Haladás,649,£425k,Free transfer,19,178
99439,8718,Sport Club do Recife,Sport Club Internacional,6600,£2.13m,£859k,26,26
99408,5174,AC Pavia,Mantova FC,2581,£128k,?,75,75
99398,8781,Deportivo Cuenca,Real Garcilaso,28999,£298k,Free transfer,44,133
99398,10885,Gimnasia y Esgrima de Jujuy,Deportivo Cuenca,8781,£170k,?,9,44
99360,1030,Argentinos Juniors,CA Los Andes,5208,£255k,Free transfer,9,9
99349,10773,RCD Espanyol B,CD Guijuelo,11615,-,Free transfer,157,157
99348,24420,UD Logroñés,CP Cacereño,11602,-,Free transfer,157,157
99296,17194,Mineros de Guayana,FC Arouca,8024,£255k,livre,182,136
99277,19396,Zulia FC,Estudiantes de Caracas SC,26408,-,Free transfer,182,182
99273,29750,Petare FC,Monagas SC,14596,£85k,?,182,182
99273,14555,Estudiantes de Mérida,Petare FC,29750,-,Free transfer,182,182
99270,17392,Trujillanos FC,Portuguesa FC,22918,£43k,Free transfer,182,182
99270,17194,Mineros de Guayana,Trujillanos FC,17392,-,Free transfer,182,182
99254,6195,SSC Napoli,ACF Fiorentina,430,£3.40m,Loan fee:£638k,75,75
99235,3522,Spezia Calcio,Cagliari Calcio,1390,£935k,£2.55m,75,75
99227,12,AS Roma,AC Milan,5,£12.75m,£17.00m,75,75
99227,252,Genoa CFC,AS Roma,12,£12.75m,£7.23m,75,75
99217,26468,Deportivo La Guaira,Deportivo Táchira,13297,£255k,Free transfer,182,182
99208,19396,Zulia FC,Ureña SC,30500,£255k,Free transfer,182,182
99203,25380,Deportivo Lara,Ureña SC,30500,£170k,?,182,182
99201,26468,Deportivo La Guaira,Atlético Venezuela,30504,£255k,Free transfer,182,182
99199,25380,Deportivo Lara,Carabobo FC,14682,£170k,Free transfer,182,182
