country_id,country_name,Latitude,Longitude
167,Thailand,14.999996234,99.999997151
183,United Arab Emirates,23.999998593,53.999998593
112,Moldova,46.999995622,28.99999654
13,Azerbaijan,40.499998418,47.49999689
47,Estonia,58.999998767,25.999995754
208,Faroe Island,61.999999554,-6.999999397
154,Slovakia,48.666665725,19.49999855
18,Belarus,52.999997195,27.999996278
81,Kazakhstan,47.999995884,67.999997763
10,Armenia,39.999998287,44.999996234
53,Georgia,41.999976313,43.49989685
191,Wales,52.499997064,-3.499998479
98,Lithuania,55.999997981,23.999999729
92,Latvia,56.999998243,24.999999991
134,Philippines,12.99999571,121.999998418
120,New Zealand,-41.999996208,173.999998548
153,Singapore,1.289667859,103.850067004
218,Hongkong,22.249995884,114.166666031
94,Lebanon,33.833327004,35.833328665
87,"Korea, South",36.999997501,127.499999859
100,Macedonia,41.833329101,21.999999205
67,India,19.999997544,76.999995622
137,Qatar,25.499998986,51.249995623
34,China,34.999996976,104.999998462
71,Iran,31.99999619,52.999998331
24,Bosnia-Herzegovina,44.249997151,17.833328447
106,Malta,35.916669133,14.433326656
2,Egypt,26.999999379,29.999996802
54,Ghana,8.099998025,-1.199996077
12,Australia,-24.999996252,134.999997326
173,Tunisia,33.999996714,8.999995798
83,Colombia,3.99999785,-71.999998435
33,Chile,-29.999997562,-70.999998173
44,Ecuador,-1.999999223,-77.499999876
179,Uruguay,-32.999998349,-55.999998741
182,Venezuela,7.999998899,-65.999996862
36,Costa Rica,9.999999423,-83.999997081
146,Saudi Arabia,24.999998855,44.999996234
4,Algeria,27.999999641,2.999998725
107,Morocco,31.99999619,-4.999998872
159,South Africa,-28.9999973,23.999999729
73,Iceland,64.99999584,-17.99999778
188,Cyprus,34.999996976,32.999997589
49,Finland,63.999995578,25.999995754
3,Albania,40.999998549,19.999998681
125,Norway,61.999999554,9.99999606
26,Brazil,-9.99999682,-54.999998479
184,United States,39.759998584,-98.499996381
9,Argentina,-33.999998611,-63.999996338
133,Peru,-9.99999682,-75.999999483
77,Japan,35.685358159,139.753087546
28,Bulgaria,42.999999073,24.999999991
141,Russia,59.999999029,99.999997151
192,Northern Ireland,54.499997588,-6.499999266
39,Denmark,55.999997981,9.99999606
177,Ukraine,48.999996146,31.999997327
74,Israel,31.977709668,34.979214457
174,Turkey,39.059005789,34.911549462
147,Sweden,61.999999554,14.99999737
190,Scotland,55.999997981,-3.99999861
72,Ireland,52.999997195,-7.999999659
189,England,52.160448194,-0.703118668
110,Mexico,22.999998331,-101.999997299
172,Czech Republic,49.749998593,14.99999737
19,Belgium,50.83332696,3.999998987
127,Austria,47.333326043,13.333327267
148,Switzerland,47.000157608,8.014268269
178,Hungary,46.999995622,19.999998681
40,Germany,51.499996802,10.499996191
99,Luxembourg,49.749998593,6.166669221
136,Portugal,39.499998156,-7.999999659
135,Poland,51.999996933,19.999998681
50,France,45.99999986,1.999998463
122,Netherlands,52.499997064,5.749997196
140,Romania,45.99999986,24.999999991
157,Spain,39.999998287,-3.99999861
56,Greece,38.999998025,21.999999205
37,Croatia,45.166669308,15.499997502
155,Slovenia,46.249997675,15.166667081
215,Serbia,44.818917666,20.459979363
75,Italy,42.833329363,12.833327136
